timestamp,resource_id,cpu_pct,memory_pct,network_pct,disk_pct,request_cpu_pct,request_memory_pct
2026-06-01T00:00:00,ecs-prod-web-01,45.16,49.62,26.34,33.94,57.29,62.82
2026-06-01T06:00:00,ecs-prod-web-01,43.36,53.06,26.2,35.91,59.4,61.84
2026-06-01T12:00:00,ecs-prod-web-01,59.38,60.35,36.08,43.73,74.01,76.01
2026-06-01T18:00:00,ecs-prod-web-01,58.85,68.3,35.82,46.36,73.54,77.5
2026-06-02T00:00:00,ecs-prod-web-01,41.17,50.41,25.15,37.59,57.97,63.19
2026-06-02T06:00:00,ecs-prod-web-01,44.62,54.31,25.17,35.98,60.82,64.46
2026-06-02T12:00:00,ecs-prod-web-01,54.79,62.27,36.1,46.23,73.51,76.21
2026-06-02T18:00:00,ecs-prod-web-01,59.12,63.87,38.73,48.13,74.76,80.23
2026-06-03T00:00:00,ecs-prod-web-01,45.72,54.43,24.46,36.37,60.52,61.54
2026-06-03T06:00:00,ecs-prod-web-01,44.78,48.07,28.96,38.42,57.62,64.97
2026-06-03T12:00:00,ecs-prod-web-01,57.19,67.64,34.62,46.61,71.86,77.15
2026-06-03T18:00:00,ecs-prod-web-01,60.35,65.23,33.91,46.82,73.4,81.04
2026-06-04T00:00:00,ecs-prod-web-01,46.09,53.06,28.14,36.71,59.86,62.64
2026-06-04T06:00:00,ecs-prod-web-01,45.4,48.8,27.51,33.26,61.55,64.86
2026-06-04T12:00:00,ecs-prod-web-01,58.1,61.48,33.62,46.03,72.05,76.58
2026-06-04T18:00:00,ecs-prod-web-01,54.04,67.07,34.18,43.62,76.11,79.81
2026-06-05T00:00:00,ecs-prod-web-01,45.67,48.68,27.41,34.27,59.17,64.42
2026-06-05T06:00:00,ecs-prod-web-01,49.02,47.95,25.13,34.0,59.73,62.63
2026-06-05T12:00:00,ecs-prod-web-01,55.31,66.16,35.77,44.83,73.51,78.33
2026-06-05T18:00:00,ecs-prod-web-01,60.99,65.59,33.95,44.67,74.44,81.58
2026-06-06T00:00:00,ecs-prod-web-01,42.95,53.56,25.13,32.93,60.31,62.62
2026-06-06T06:00:00,ecs-prod-web-01,42.94,50.1,27.85,36.59,58.94,64.28
2026-06-06T12:00:00,ecs-prod-web-01,50.43,50.57,30.56,40.71,62.57,64.68
2026-06-06T18:00:00,ecs-prod-web-01,51.07,57.83,29.68,40.18,65.21,65.33
2026-06-07T00:00:00,ecs-prod-web-01,45.64,50.76,26.45,35.1,59.05,62.93
2026-06-07T06:00:00,ecs-prod-web-01,46.22,49.15,25.16,35.39,61.42,65.54
2026-06-07T12:00:00,ecs-prod-web-01,44.79,55.73,32.66,36.95,61.19,64.97
2026-06-07T18:00:00,ecs-prod-web-01,48.79,57.41,32.2,36.63,65.16,65.1
2026-06-08T00:00:00,ecs-prod-web-01,42.32,53.14,29.31,35.48,58.52,63.4
2026-06-08T06:00:00,ecs-prod-web-01,44.33,55.89,27.57,33.91,60.0,63.97
2026-06-08T12:00:00,ecs-prod-web-01,58.44,66.97,38.23,46.74,74.22,78.83
2026-06-08T18:00:00,ecs-prod-web-01,61.17,64.43,39.06,44.76,75.4,79.58
2026-06-09T00:00:00,ecs-prod-web-01,44.57,52.34,28.42,32.57,58.18,61.3
2026-06-09T06:00:00,ecs-prod-web-01,48.2,55.51,26.87,38.85,60.85,64.06
2026-06-09T12:00:00,ecs-prod-web-01,55.62,69.09,33.97,48.12,73.8,80.54
2026-06-09T18:00:00,ecs-prod-web-01,58.4,64.64,37.09,48.18,76.98,81.48
2026-06-10T00:00:00,ecs-prod-web-01,44.2,50.78,28.75,37.06,57.98,62.41
2026-06-10T06:00:00,ecs-prod-web-01,45.15,51.93,27.04,39.57,60.82,63.73
2026-06-10T12:00:00,ecs-prod-web-01,55.94,68.41,35.97,45.02,75.82,79.43
2026-06-10T18:00:00,ecs-prod-web-01,58.56,66.87,38.09,48.66,74.61,78.06
2026-06-11T00:00:00,ecs-prod-web-01,48.77,54.8,30.01,35.11,61.32,65.12
2026-06-11T06:00:00,ecs-prod-web-01,50.67,56.53,29.52,35.62,62.77,66.97
2026-06-11T12:00:00,ecs-prod-web-01,54.17,67.82,35.87,47.68,76.31,78.16
2026-06-11T18:00:00,ecs-prod-web-01,54.75,61.96,39.32,46.51,75.55,80.65
2026-06-12T00:00:00,ecs-prod-web-01,48.87,54.16,25.24,36.39,59.29,64.34
2026-06-12T06:00:00,ecs-prod-web-01,51.49,56.81,28.59,39.26,63.83,67.0
2026-06-12T12:00:00,ecs-prod-web-01,60.86,65.26,34.41,46.61,75.1,79.66
2026-06-12T18:00:00,ecs-prod-web-01,58.98,66.08,33.5,46.15,76.07,80.53
2026-06-13T00:00:00,ecs-prod-web-01,44.48,55.55,30.04,35.31,60.8,63.2
2026-06-13T06:00:00,ecs-prod-web-01,46.43,50.9,27.49,36.8,60.37,65.84
2026-06-13T12:00:00,ecs-prod-web-01,51.77,57.3,29.4,41.23,64.65,66.02
2026-06-13T18:00:00,ecs-prod-web-01,50.33,53.07,30.59,37.08,64.81,67.47
2026-06-14T00:00:00,ecs-prod-web-01,44.23,49.06,25.74,39.51,59.32,64.44
2026-06-14T06:00:00,ecs-prod-web-01,45.39,51.08,29.84,40.89,60.81,66.38
2026-06-14T12:00:00,ecs-prod-web-01,52.82,54.77,28.35,38.13,63.42,68.26
2026-06-14T18:00:00,ecs-prod-web-01,48.59,53.4,32.84,40.79,62.68,65.19
2026-06-15T00:00:00,ecs-prod-web-01,42.83,54.19,29.15,39.29,61.2,64.48
